football_data_name,transfermarkt_name,manager,trainer_id,trainer_slug,nationality,start_date,end_date
Adanaspor,Adanaspor,Gündüz Tekin Onay,60108,gunduz-tekin-onay,Türkiye,1988-07-01,1989-06-30
Adanaspor,Adanaspor,Djordje Milic,28493,djordje-milic,Serbia,1987-07-01,1988-01-01
Adanaspor,Adanaspor,Ali Hoşfikirer,60758,ali-hosfikirer,Türkiye,1987-07-01,1988-06-30
Adanaspor,Adanaspor,Nihat Atacan,63302,nihat-atacan,Türkiye,1985-07-01,1986-06-30
Adanaspor,Adanaspor,Halil Güngördü,61776,halil-gungordu,Türkiye,1984-03-22,1984-06-30
Adanaspor,Adanaspor,Candan Dumanlı,62237,candan-dumanli,Türkiye,1983-07-01,1984-03-19
Adanaspor,Adanaspor,Tamer Güney,71000,tamer-guney,Türkiye,1981-07-01,1982-04-05
Adanaspor,Adanaspor,Gündüz Tekin Onay,60108,gunduz-tekin-onay,Türkiye,1980-02-01,1981-06-30
Adanaspor,Adanaspor,Cevdet Soyluoğlu,84715,cevdet-soyluoglu,Türkiye,1979-07-01,1980-01-09
Adanaspor,Adanaspor,Tamer Güney,71000,tamer-guney,Türkiye,1978-06-01,1979-06-01
Adanaspor,Adanaspor,Djordje Milic,28493,djordje-milic,Serbia,1977-11-08,1978-06-30
Adanaspor,Adanaspor,Abdulah Gegic,26216,abdulah-gegic,Serbia,1976-08-04,1976-11-19
Adanaspor,Adanaspor,Tamer Güney,71000,tamer-guney,Türkiye,1975-07-10,1976-06-30
Adanaspor,Adanaspor,Gündüz Tekin Onay,60108,gunduz-tekin-onay,Türkiye,1972-10-04,1975-03-24
Adanaspor,Adanaspor,Bülent Eken,32874,bulent-eken,Türkiye,1970-07-01,1971-07-17
Adanaspor,Adanaspor,Halil Özyazıcı,108945,halil-ozyazici,Türkiye,1968-07-22,1969-03-01
Akhisar Belediyespor,Akhisarspor,İsa Turan,10633,isa-turan,Türkiye,2024-01-18,2024-06-30
Akhisar Belediyespor,Akhisarspor,Hüsnü Koşaner,123846,husnu-kosaner,Türkiye,2023-12-08,2024-01-17
Akhisar Belediyespor,Akhisarspor,Görkem Güngör,107889,gorkem-gungor,Türkiye,2023-09-01,2023-12-29
Akhisar Belediyespor,Akhisarspor,İlker Yanar,22945,ilker-yanar,Türkiye,2023-06-17,2023-12-29
Akhisar Belediyespor,Akhisarspor,Sentürk Karabak,111882,senturk-karabak,Türkiye,2023-01-02,2023-06-10
Akhisar Belediyespor,Akhisarspor,Theofanis Gekas,68148,theofanis-gekas,Greece,2022-07-01,2022-12-05
Akhisar Belediyespor,Akhisarspor,Muhammet Yilmaz,37672,muhammet-yilmaz,Türkiye,2021-06-19,2022-06-27
Akhisar Belediyespor,Akhisarspor,Muhammet Yilmaz,37672,muhammet-yilmaz,Türkiye,2021-04-16,2021-05-31
Akhisar Belediyespor,Akhisarspor,Fırat Gül,68495,firat-gul,Türkiye,2021-02-26,2021-04-16
Akhisar Belediyespor,Akhisarspor,Mesut Dilsöz,18041,mesut-dilsoz,Türkiye,2020-12-10,2021-02-25
Akhisar Belediyespor,Akhisarspor,Cem Kavçak,61439,cem-kavcak,Türkiye,2020-08-28,2020-12-09
Akhisar Belediyespor,Akhisarspor,Yılmaz Vural,810,yilmaz-vural,Türkiye,2020-01-29,2020-08-03
Akhisar Belediyespor,Akhisarspor,Mehmet Altıparmak,5195,mehmet-altiparmak,Türkiye,2019-07-01,2020-01-27
Akhisar Belediyespor,Akhisarspor,Cem Kavçak,61439,cem-kavcak,Türkiye,2019-02-13,2019-06-30
Akhisar Belediyespor,Akhisarspor,Cihat Arslan,5540,cihat-arslan,Türkiye,2018-09-25,2019-02-13
Akhisar Belediyespor,Akhisarspor,Safet Susic,2026,safet-susic,Bosnia-Herzegovina,2018-07-01,2018-09-17
Akhisar Belediyespor,Akhisarspor,Okan Buruk,23531,okan-buruk,Türkiye,2017-03-28,2018-06-30
Akhisar Belediyespor,Akhisarspor,Tolunay Kafkas,5006,tolunay-kafkas,Türkiye,2016-09-06,2017-03-18
Akhisar Belediyespor,Akhisarspor,Cihat Arslan,5540,cihat-arslan,Türkiye,2015-07-01,2016-09-01
Akhisar Belediyespor,Akhisarspor,Roberto Carlos,29100,roberto-carlos,Brazil,2015-01-11,2015-06-30
Akhisar Belediyespor,Akhisarspor,Mustafa Reşit Akçay,15266,mustafa-resit-akcay,Türkiye,2014-07-01,2014-12-31
Akhisar Belediyespor,Akhisarspor,Hamza Hamzaoğlu,8536,hamza-hamzaoglu,Türkiye,2011-03-03,2014-06-30
Akhisar Belediyespor,Akhisarspor,Mehmet Atila Özcan,15011,mehmet-atila-ozcan,Türkiye,2006-10-18,2011-03-01
Akhisar Belediyespor,Akhisarspor,Mustafa Serin,17969,mustafa-serin,Türkiye,2006-08-29,2006-10-16
Akhisar Belediyespor,Akhisarspor,Erhan Dodanlı,89676,erhan-dodanli,Türkiye,2006-02-21,2006-06-30
Akhisar Belediyespor,Akhisarspor,Mehmet Atila Özcan,15011,mehmet-atila-ozcan,Türkiye,2005-04-13,2006-02-20
Akhisar Belediyespor,Akhisarspor,Mehmet Celal Bölgen,77061,mehmet-celal-bolgen,Türkiye,2005-02-25,2005-04-11
Akhisar Belediyespor,Akhisarspor,Hayri Zabun,123948,hayri-zabun,Türkiye,2004-07-02,2005-02-24
Akhisar Belediyespor,Akhisarspor,Turgut Uçar,2821,turgut-ucar,Türkiye,2003-08-07,2004-06-30
Akhisar Belediyespor,Akhisarspor,Can Cangök,49550,can-cangok,Türkiye,2000-10-12,2003-06-30
Akhisar Belediyespor,Akhisarspor,Adnan Özbağcı,41897,adnan-ozbagci,Türkiye,2000-06-07,2000-10-06
Akhisar Belediyespor,Akhisarspor,Behiç Başatuğrul,123896,behic-basatugrul,Türkiye,1999-06-15,1999-06-30
Akhisar Belediyespor,Akhisarspor,Aydoğan Tunay,84979,aydogan-tunay,Türkiye,1993-11-10,1994-09-14
