football_data_name,transfermarkt_name,manager,trainer_id,nationality,date_of_birth,start_date,end_date,age_at_appointment,experience_clubs_before,experience_years_before
Ad. Demirspor,Adana Demirspor,Ercan Albay,10323,Türkiye,1954-12-04,2012-04-05,2012-07-13,57.3,13,21.8
Ad. Demirspor,Adana Demirspor,Durmuş Ali Çolak,22825,Türkiye,1965-08-18,2011-09-22,2012-02-29,46.1,15,13.9
Ad. Demirspor,Adana Demirspor,Ali Güneş,16987,Türkiye,1961-07-15,2011-02-18,2011-09-20,49.6,15,15.3
Ad. Demirspor,Adana Demirspor,Soner Tolungüç,16910,Türkiye,1964-10-14,2010-08-20,2011-02-15,45.8,5,10.6
Ad. Demirspor,Adana Demirspor,Hüseyin Özcan,27072,Türkiye,1966-01-04,2010-01-29,2010-08-20,44.1,12,10.3
Ad. Demirspor,Adana Demirspor,Durmuş Ali Çolak,22825,Türkiye,1965-08-18,2009-10-23,2010-01-26,44.2,13,12.0
Ad. Demirspor,Adana Demirspor,Abdülkerim Durmaz,19093,Türkiye,1960-09-13,2009-01-21,2009-10-23,48.4,8,12.4
Ad. Demirspor,Adana Demirspor,Behzat Çınar,43757,Türkiye,1946-04-09,2008-11-28,2009-01-20,62.6,12,21.6
Ad. Demirspor,Adana Demirspor,Metin Yıldız,2333,Türkiye,1960-10-24,2008-08-29,2008-11-21,47.8,10,10.1
Ad. Demirspor,Adana Demirspor,Sadi Tekelioğlu,22826,Türkiye,1955-01-15,2008-03-13,2008-06-30,53.2,14,17.6
Ad. Demirspor,Adana Demirspor,Levent Eriş,2444,Türkiye,1962-09-17,2007-08-14,2008-03-12,44.9,0,
Ad. Demirspor,Adana Demirspor,Durmuş Ali Çolak,22825,Türkiye,1965-08-18,2006-08-10,2007-04-12,41.0,10,8.8
Ad. Demirspor,Adana Demirspor,Müjdat Karanfilci,124265,Türkiye,,2006-01-03,2006-05-05,,0,
Ad. Demirspor,Adana Demirspor,Orhan Uçak,31436,Türkiye,1956-01-07,2005-06-01,2006-01-06,49.4,11,17.9
Ad. Demirspor,Adana Demirspor,Nurettin Yılmaz,23371,Türkiye,1962-01-01,2004-10-01,2005-06-30,42.7,5,7.6
Ad. Demirspor,Adana Demirspor,İbrahim Uzunca,36705,Türkiye,1962-01-02,2003-07-01,2004-10-01,41.5,0,
Ad. Demirspor,Adana Demirspor,Behzat Çınar,43757,Türkiye,1946-04-09,2002-12-10,2003-06-30,56.7,11,15.7
Ad. Demirspor,Adana Demirspor,Ercan Albay,10323,Türkiye,1954-12-04,2000-07-01,2002-11-29,45.6,9,10.0
Ad. Demirspor,Adana Demirspor,Ali Hoşfikirer,60758,Türkiye,1944-03-05,1999-09-25,2000-06-30,55.6,13,18.2
Ad. Demirspor,Adana Demirspor,Orhan Uçak,31436,Türkiye,1956-01-07,1999-06-18,1999-09-24,43.4,6,12.0
Ad. Demirspor,Adana Demirspor,Kasım Gündüz,799,Türkiye,1957-08-28,1999-03-12,1999-06-30,41.5,5,7.3
Ad. Demirspor,Adana Demirspor,Rasin Gürcan,61267,Türkiye,1953-02-03,1998-11-04,1999-03-12,45.7,8,10.7
Ad. Demirspor,Adana Demirspor,Necati Özçağlayan,33840,Türkiye,1953-05-15,1998-08-01,1998-10-27,45.2,0,0.0
Ad. Demirspor,Adana Demirspor,Rasin Gürcan,61267,Türkiye,1953-02-03,1998-04-17,1998-06-30,45.2,6,10.2
Ad. Demirspor,Adana Demirspor,Metin Türel,10484,Türkiye,1937-09-13,1997-01-20,1997-11-27,59.4,17,27.9
Ad. Demirspor,Adana Demirspor,İlyas Tüfekçi,10372,Türkiye,1960-02-03,1996-09-19,1997-01-09,36.6,4,2.7
Ad. Demirspor,Adana Demirspor,Nevzat Güzelırmak,60737,Türkiye,1942-01-01,1996-07-05,1996-09-19,54.5,18,19.9
Ad. Demirspor,Adana Demirspor,Yücel İldiz,5204,Türkiye,1953-06-04,1995-10-24,1996-05-29,42.4,6,5.3
Ad. Demirspor,Adana Demirspor,Ali Hoşfikirer,60758,Türkiye,1944-03-05,1995-07-04,1995-10-24,51.3,10,14.0
Ad. Demirspor,Adana Demirspor,Cengiz Hoşfikirer,69590,Türkiye,1958-05-25,1995-04-12,1995-06-30,36.9,3,3.7
Ad. Demirspor,Adana Demirspor,Kemal Omeragic,59973,Serbia,1931-09-16,1995-02-24,1995-04-12,63.4,10,20.7
Ad. Demirspor,Adana Demirspor,Samet Aybaba,5002,Türkiye,1955-02-03,1994-07-08,1995-02-23,39.4,2,4.0
Ad. Demirspor,Adana Demirspor,Metin Türel,10484,Türkiye,1937-09-13,1993-11-25,1994-06-30,56.2,13,24.7
Ad. Demirspor,Adana Demirspor,Ercan Albay,10323,Türkiye,1954-12-04,1993-07-09,1993-10-21,38.6,3,3.0
Ad. Demirspor,Adana Demirspor,Sakıp Özberk,814,Türkiye,1945-05-01,1992-11-12,1992-12-21,47.5,4,8.4
Ad. Demirspor,Adana Demirspor,Rasin Gürcan,61267,Türkiye,1953-02-03,1992-09-01,1992-11-12,39.6,3,4.6
Ad. Demirspor,Adana Demirspor,Kemal Omeragic,59973,Serbia,1931-09-16,1991-07-01,1992-06-30,59.8,6,17.0
Ad. Demirspor,Adana Demirspor,Ali Hoşfikirer,60758,Türkiye,1944-03-05,1990-07-01,1991-06-30,46.3,6,9.0
Ad. Demirspor,Adana Demirspor,Rasin Gürcan,61267,Türkiye,1953-02-03,1990-02-23,1990-05-07,37.1,0,2.0
Ad. Demirspor,Adana Demirspor,Feridun Köse,61283,Türkiye,1944-10-24,1990-02-01,1990-02-23,45.3,1,5.6
Ad. Demirspor,Adana Demirspor,Ali Hoşfikirer,60758,Türkiye,1944-03-05,1989-07-01,1990-01-08,45.3,5,8.0
Ad. Demirspor,Adana Demirspor,Yaşar Kartal,66911,Türkiye,1934-01-15,1989-04-01,1989-06-30,55.2,0,0.8
Ad. Demirspor,Adana Demirspor,Metin Türel,10484,Türkiye,1937-09-13,1988-12-01,1989-03-30,51.2,9,19.8
Ad. Demirspor,Adana Demirspor,Fuad Muzurovic,4111,Bosnia-Herzegovina,1945-11-03,1987-07-01,1988-11-28,41.7,3,10.0
Ad. Demirspor,Adana Demirspor,Ali Hoşfikirer,60758,Türkiye,1944-03-05,1986-07-01,1987-06-30,42.3,3,5.0
Ad. Demirspor,Adana Demirspor,Gürcan Berk,84460,Türkiye,1936-07-03,1985-07-01,1985-11-10,49.0,12,12.5
Ad. Demirspor,Adana Demirspor,Çetin Güler,99553,Türkiye,1940-06-26,1984-07-01,1985-06-30,44.0,8,10.0
Ad. Demirspor,Adana Demirspor,Gündüz Tekin Onay,60108,Türkiye,1942-05-31,1984-02-01,1984-06-30,41.7,9,15.1
Ad. Demirspor,Adana Demirspor,Ali Hoşfikirer,60758,Türkiye,1944-03-05,1983-04-05,1983-12-11,39.1,1,1.8
Ad. Demirspor,Adana Demirspor,Marko Valok,143605,Serbia,1927-03-05,1982-07-01,1984-06-30,55.3,7,19.0
Ad. Demirspor,Adana Demirspor,Coşkun Özarı,25822,Türkiye,1931-06-10,1980-11-16,1982-06-30,49.4,13,21.3
Ad. Demirspor,Adana Demirspor,Doğan Emültay,135935,Türkiye,1927-01-29,1978-07-01,1980-11-10,51.4,7,14.0
Ad. Demirspor,Adana Demirspor,Zeynel Soyuer,10483,Türkiye,1939-12-15,1978-07-01,1979-06-30,38.5,4,6.0
Ad. Demirspor,Adana Demirspor,Yüksel Doğanay,136803,Türkiye,1930-11-25,1977-07-01,1978-06-30,46.6,8,16.3
Ad. Demirspor,Adana Demirspor,Sabahattin Erman,106474,Türkiye,1921-11-29,1976-07-01,1976-10-04,54.6,0,0.0
Ad. Demirspor,Adana Demirspor,Ali Hikmet Aydınoğlu,125218,Türkiye,1929-04-10,1976-01-09,1976-06-30,46.7,0,2.5
Ad. Demirspor,Adana Demirspor,Yüksel Doğanay,136803,Türkiye,1930-11-25,1974-07-01,1975-06-30,43.6,6,13.3
Ad. Demirspor,Adana Demirspor,Abdulah Gegic,26216,Serbia,1924-03-19,1973-07-01,1974-06-30,49.3,11,12.0
Ad. Demirspor,Adana Demirspor,Kadri Aytaç,61728,Türkiye,1931-08-06,1972-07-01,1973-06-30,40.9,3,3.0
Ad. Demirspor,Adana Demirspor,Yüksel Doğanay,136803,Türkiye,1930-11-25,1971-07-01,1972-06-30,40.6,4,10.3
Ad. Demirspor,Adana Demirspor,Hüseyin Buran,114975,Türkiye,,1968-07-01,1968-11-04,,2,8.0
Ad. Demirspor,Adana Demirspor,Selahattin Tetik,110048,Türkiye,1905-07-01,1967-07-11,1967-09-08,62.0,6,8.0
Ad. Demirspor,Adana Demirspor,Ahmet Arıboğan,116648,Türkiye,1927-07-18,1960-07-01,1961-06-30,33.0,0,0.0
Adanaspor,Adanaspor,Savaş Bahadır,150056,Türkiye,1976-11-14,2025-10-17,,48.9,0,
Adanaspor,Adanaspor,Yüksel Yeşilova,2032,Türkiye,1972-01-24,2025-07-11,2025-10-10,53.5,0,
Adanaspor,Adanaspor,Ercan Ünal,125469,Türkiye,1982-10-10,2025-04-17,2025-06-30,42.5,8,5.4
Adanaspor,Adanaspor,Hakan Keleş,64778,Türkiye,1972-01-08,2025-02-04,2025-04-16,53.1,14,16.9
Adanaspor,Adanaspor,Yusuf Şimşek,19920,Türkiye,1975-07-20,2024-10-31,2025-02-03,49.3,0,
Adanaspor,Adanaspor,Kemal Kılıç,10144,Türkiye,1956-04-25,2024-09-25,2024-10-27,68.4,0,
Adanaspor,Adanaspor,François Ciccolini,1228,France,1962-06-03,2024-09-01,2024-09-24,62.2,11,20.2
Adanaspor,Adanaspor,Sol Bamba,112571,Cote d'Ivoire,1985-01-13,2024-07-25,2024-08-31,39.5,1,1.5
Adanaspor,Adanaspor,Kemal Kılıç,10144,Türkiye,1956-04-25,2024-01-31,2024-06-30,67.8,0,
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2024-01-19,2024-01-30,61.6,31,27.3
Adanaspor,Adanaspor,Mustafa Kaplan,27861,Türkiye,,2023-11-03,2024-01-18,,0,
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2023-10-06,2023-11-03,61.3,30,27.0
Adanaspor,Adanaspor,Özhan Pulat,71537,Türkiye,1984-10-30,2023-08-07,2023-10-05,38.8,11,12.5
Adanaspor,Adanaspor,Kemal Kılıç,10144,Türkiye,1956-04-25,2023-07-01,2023-07-25,67.2,0,
Adanaspor,Adanaspor,Kemal Kılıç,10144,Türkiye,1956-04-25,2022-12-21,2023-02-21,66.7,0,
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2022-11-11,2022-12-20,60.4,28,26.1
Adanaspor,Adanaspor,Önder Karaveli,38319,Türkiye,1974-03-26,2022-09-27,2022-11-11,48.5,21,22.2
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2022-09-12,2022-09-27,60.2,27,25.9
Adanaspor,Adanaspor,Mustafa Kaplan,27861,Türkiye,,2022-06-09,2022-09-12,,0,
Adanaspor,Adanaspor,Sait Karafırtınalar,19341,Türkiye,1969-01-01,2021-10-01,2022-06-30,52.7,0,
Adanaspor,Adanaspor,Fırat Gül,68495,Türkiye,1984-07-09,2021-05-25,2021-09-26,36.9,0,
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2021-03-19,2021-05-25,58.7,24,24.5
Adanaspor,Adanaspor,Emrah Bayraktar,88762,Türkiye,1976-10-19,2021-01-27,2021-03-15,44.3,9,17.3
Adanaspor,Adanaspor,Yunus Ceylan,77155,Türkiye,1979-12-25,2020-09-21,2021-01-27,40.7,0,
Adanaspor,Adanaspor,Fatih Akyel,37937,Türkiye,1977-12-26,2020-09-10,2020-09-19,42.7,0,
Adanaspor,Adanaspor,Coşkun Demirbakan,8012,Türkiye,1954-11-10,2020-02-28,2020-08-03,65.3,23,28.5
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2020-01-31,2020-02-27,57.6,21,23.3
Adanaspor,Adanaspor,Engin İpekoğlu,5205,Türkiye,1961-06-07,2019-10-08,2020-01-28,58.3,13,16.2
Adanaspor,Adanaspor,Levent Eriş,2444,Türkiye,1962-09-17,2019-08-15,2019-10-11,56.9,0,
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2019-02-21,2019-06-30,56.7,20,22.4
Adanaspor,Adanaspor,Coşkun Demirbakan,8012,Türkiye,1954-11-10,2018-09-28,2019-02-18,63.9,21,27.1
Adanaspor,Adanaspor,Cihat Arslan,5540,Türkiye,1970-02-09,2018-08-01,2018-09-25,48.5,0,
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2018-03-06,2018-06-30,55.7,19,21.4
Adanaspor,Adanaspor,Osman Özköylü,9284,Türkiye,1971-08-26,2017-12-13,2018-03-05,46.3,0,
Adanaspor,Adanaspor,Kemal Kılıç,10144,Türkiye,1956-04-25,2017-08-10,2017-12-05,61.3,0,
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2017-04-10,2017-06-30,54.8,16,20.5
Adanaspor,Adanaspor,Levent Şahin,2628,Türkiye,1973-09-20,2017-01-10,2017-04-13,43.3,0,
Adanaspor,Adanaspor,Krunoslav Jurcic,4756,Croatia,1969-11-26,2016-08-28,2016-12-05,46.8,0,
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2016-08-18,2016-08-28,54.2,15,19.9
Adanaspor,Adanaspor,Engin İpekoğlu,5205,Türkiye,1961-06-07,2015-11-19,2016-08-18,54.5,9,12.4
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2015-04-17,2015-11-18,52.8,13,18.5
Adanaspor,Adanaspor,Güvenç Kurtar,804,Türkiye,1950-07-25,2015-01-12,2015-03-24,64.5,18,28.5
Adanaspor,Adanaspor,Levent Eriş,2444,Türkiye,1962-09-17,2013-10-10,2015-01-09,51.1,0,
Adanaspor,Adanaspor,Ercan Albay,10323,Türkiye,1954-12-04,2013-08-22,2013-10-01,58.7,14,23.1
Adanaspor,Adanaspor,Ekrem Al,8914,Türkiye,1955-01-01,2013-08-14,2013-08-21,58.6,22,19.9
Adanaspor,Adanaspor,Levent Eriş,2444,Türkiye,1962-09-17,2011-07-15,2013-07-19,48.8,0,
Adanaspor,Adanaspor,Osman Özdemir,5215,Türkiye,1961-09-01,2010-11-11,2011-03-01,49.2,9,13.9
Adanaspor,Adanaspor,Cemal Gürsel Menteşe,16263,Türkiye,1965-11-01,2010-09-16,2010-10-27,44.9,6,13.0
Adanaspor,Adanaspor,Kemal Kılıç,10144,Türkiye,1956-04-25,2009-10-08,2010-09-06,53.5,0,
Adanaspor,Adanaspor,Ekrem Al,8914,Türkiye,1955-01-01,2009-08-16,2009-09-29,54.6,17,15.9
Adanaspor,Adanaspor,Ekrem Al,8914,Türkiye,1955-01-01,2009-01-16,2009-06-30,54.0,16,15.4
Adanaspor,Adanaspor,Metin Yıldız,2333,Türkiye,1960-10-24,2008-11-21,2008-12-30,48.1,10,10.3
Adanaspor,Adanaspor,Mustafa Çapanoğlu,8010,Türkiye,1956-01-01,2008-10-10,2008-11-12,52.8,16,16.2
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2008-09-26,2008-10-10,46.3,11,12.0
Adanaspor,Adanaspor,Hüsnü Özkara,2022,Türkiye,1955-01-25,2008-07-01,2008-09-09,53.4,18,18.0
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2008-04-28,2008-06-30,45.9,9,11.6
Adanaspor,Adanaspor,Hüseyin Kalpar,12053,Türkiye,1955-02-25,2008-03-06,2008-04-28,53.0,12,13.7
Adanaspor,Adanaspor,Kemal Kılıç,10144,Türkiye,1956-04-25,2007-08-17,2008-03-03,51.3,0,
Adanaspor,Adanaspor,Cihat Erbil,64743,Türkiye,1946-06-01,2007-03-09,2007-06-30,60.8,28,25.7
Adanaspor,Adanaspor,İbrahim Okutan,87372,Türkiye,1959-03-29,2007-01-25,2007-03-06,47.8,8,13.5
Adanaspor,Adanaspor,Zafer Göncüler,60759,Türkiye,1950-11-22,2006-09-05,2007-01-05,55.8,22,24.2
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2005-03-18,2005-06-30,42.7,7,8.5
Adanaspor,Adanaspor,Şevket Kesler,85397,Türkiye,1956-10-31,2005-01-19,2005-03-03,48.2,8,13.5
Adanaspor,Adanaspor,Ahmet Ziya Yüce,37857,Türkiye,1957-07-06,2004-07-06,2004-11-12,47.0,5,8.7
Adanaspor,Adanaspor,Eyüp Arın,31384,Türkiye,1962-06-19,2004-01-30,2004-06-30,41.6,6,7.3
Adanaspor,Adanaspor,Yılmaz Vural,810,Türkiye,1953-01-01,2003-02-20,2004-01-14,50.1,0,
Adanaspor,Adanaspor,Bahri Kaya,17749,Türkiye,1957-06-10,2002-02-19,2003-02-20,44.7,8,9.3
Adanaspor,Adanaspor,Rıdvan Dilmen,69200,Türkiye,1962-08-15,2001-08-09,2002-02-18,39.0,5,4.6
Adanaspor,Adanaspor,Joachim Löw,495,Germany,1960-02-03,2000-12-20,2001-03-01,40.9,7,8.5
Adanaspor,Adanaspor,Hikmet Karaman,801,Türkiye,1960-03-09,1999-12-01,2000-12-07,39.7,0,
Adanaspor,Adanaspor,Nenad Bijedic,2609,Bosnia-Herzegovina,1959-09-24,1999-07-01,1999-11-29,39.8,4,4.8
Adanaspor,Adanaspor,Ziya Doğan,795,Türkiye,1961-01-01,1999-05-13,1999-06-30,38.4,2,5.8
Adanaspor,Adanaspor,Gheorghe Mulțescu,5429,Romania,1951-11-13,1998-10-06,1999-05-13,46.9,6,12.3
Adanaspor,Adanaspor,Fuad Muzurovic,4111,Bosnia-Herzegovina,1945-11-03,1998-07-01,1998-09-30,52.7,7,21.0
Adanaspor,Adanaspor,Ercan Albay,10323,Türkiye,1954-12-04,1997-07-01,1998-06-30,42.6,7,7.0
Adanaspor,Adanaspor,Ümit Kayıhan,802,Türkiye,1954-02-28,1997-04-01,1997-06-30,43.1,7,8.4
Adanaspor,Adanaspor,Ali Osman Renklibay,64761,Türkiye,1948-10-24,1996-07-05,1997-04-03,47.7,4,4.9
Adanaspor,Adanaspor,Gündüz Tekin Onay,60108,Türkiye,1942-05-31,1994-09-30,1996-03-20,52.3,18,25.7
Adanaspor,Adanaspor,Necip Erdoğan,60117,Türkiye,1948-03-19,1994-07-01,1994-09-05,46.3,6,8.2
Adanaspor,Adanaspor,Aydın Tohumcu,124322,Türkiye,1943-02-01,1993-11-22,1994-03-25,50.8,6,9.4
Adanaspor,Adanaspor,Ender Konca,108766,Türkiye,1947-09-22,1993-09-10,1993-11-17,46.0,5,7.2
Adanaspor,Adanaspor,Necip Erdoğan,60117,Türkiye,1948-03-19,1993-03-03,1993-09-10,45.0,4,6.8
Adanaspor,Adanaspor,Yücel İldiz,5204,Türkiye,1953-06-04,1991-10-30,1992-11-02,38.4,2,1.3
Adanaspor,Adanaspor,İsa Ertürk,85275,Türkiye,1955-07-17,1991-07-18,1991-10-24,36.0,2,1.0
Adanaspor,Adanaspor,Yılmaz Vural,810,Türkiye,1953-01-01,1991-03-13,1991-06-30,38.2,0,
Adanaspor,Adanaspor,Gündüz Tekin Onay,60108,Türkiye,1942-05-31,1990-09-17,1991-02-21,48.3,15,21.7
Adanaspor,Adanaspor,Necip Erdoğan,60117,Türkiye,1948-03-19,1990-07-01,1990-09-16,42.3,1,4.2
Adanaspor,Adanaspor,Djordje Milic,28493,Serbia,1943-10-27,1989-09-01,1990-06-30,45.8,4,11.8
Adanaspor,Adanaspor,Gündüz Tekin Onay,60108,Türkiye,1942-05-31,1988-07-01,1989-06-30,46.1,13,19.5
Adanaspor,Adanaspor,Djordje Milic,28493,Serbia,1943-10-27,1987-07-01,1988-01-01,43.7,3,9.6
Adanaspor,Adanaspor,Ali Hoşfikirer,60758,Türkiye,1944-03-05,1987-07-01,1988-06-30,43.3,4,6.0
Adanaspor,Adanaspor,Nihat Atacan,63302,Türkiye,1942-01-23,1985-07-01,1986-06-30,43.4,5,9.0
Adanaspor,Adanaspor,Halil Güngördü,61776,Türkiye,1943-01-09,1984-03-22,1984-06-30,41.2,6,4.3
Adanaspor,Adanaspor,Candan Dumanlı,62237,Türkiye,1939-01-07,1983-07-01,1984-03-19,44.5,4,7.9
Adanaspor,Adanaspor,Tamer Güney,71000,Türkiye,1936-01-06,1981-07-01,1982-04-05,45.5,12,13.0
Adanaspor,Adanaspor,Gündüz Tekin Onay,60108,Türkiye,1942-05-31,1980-02-01,1981-06-30,37.7,6,11.1
Adanaspor,Adanaspor,Cevdet Soyluoğlu,84715,Türkiye,1935-01-01,1979-07-01,1980-01-09,44.5,2,6.6
Adanaspor,Adanaspor,Tamer Güney,71000,Türkiye,1936-01-06,1978-06-01,1979-06-01,42.4,9,9.9
Adanaspor,Adanaspor,Djordje Milic,28493,Serbia,1943-10-27,1977-11-08,1978-06-30,34.0,0,0.0
Adanaspor,Adanaspor,Abdulah Gegic,26216,Serbia,1924-03-19,1976-08-04,1976-11-19,52.4,15,15.1
Adanaspor,Adanaspor,Tamer Güney,71000,Türkiye,1936-01-06,1975-07-10,1976-06-30,39.5,6,7.0
Adanaspor,Adanaspor,Gündüz Tekin Onay,60108,Türkiye,1942-05-31,1972-10-04,1975-03-24,30.3,2,3.8
Adanaspor,Adanaspor,Bülent Eken,32874,Türkiye,1923-10-26,1970-07-01,1971-07-17,46.7,14,15.0
Adanaspor,Adanaspor,Halil Özyazıcı,108945,Türkiye,1923-01-01,1968-07-22,1969-03-01,45.6,9,14.1
Akhisar Belediyespor,Akhisarspor,İsa Turan,10633,Türkiye,1969-08-06,2024-01-18,2024-06-30,54.5,20,21.4
Akhisar Belediyespor,Akhisarspor,Hüsnü Koşaner,123846,Türkiye,1980-02-07,2023-12-08,2024-01-17,43.8,0,0.0
Akhisar Belediyespor,Akhisarspor,Görkem Güngör,107889,Türkiye,1987-03-15,2023-09-01,2023-12-29,36.5,5,3.0
Akhisar Belediyespor,Akhisarspor,İlker Yanar,22945,Türkiye,1971-03-13,2023-06-17,2023-12-29,52.3,10,19.7
Akhisar Belediyespor,Akhisarspor,Sentürk Karabak,111882,Türkiye,1966-10-02,2023-01-02,2023-06-10,56.3,5,12.3
Akhisar Belediyespor,Akhisarspor,Theofanis Gekas,68148,Greece,1980-05-23,2022-07-01,2022-12-05,42.1,1,0.8
Akhisar Belediyespor,Akhisarspor,Muhammet Yilmaz,37672,Türkiye,1971-09-09,2021-06-19,2022-06-27,49.8,16,13.6
